title,author,pub_loc,publisher,date,format,contrib_personal,contrib_corporate,genre,location
A primer for Oriental thought /,"Sampson, Mary Ann.",alu,"OEOCO (The One-Eye Opera Co.),",199-?],[42] p. : all col. ill. ;,,OEOCO Press.,Artists' books--Alabama--Ragland.,SOUTHERNCV N7433.4 .S25 P75 1990z
Landscape /,"Sampson, Mary Ann.",alu,"OEOCO (The One-Eye Opera Co.)],",1995.,1 folded sheet : all col. ill. ;,,OEOCO Press.,,SOUTHERNCV N7433.4 .S25 L36 1995
Srebmun /,"Sampson, Mary Ann.",alu,"OEOCO (The One-Eye Opera Co.),",1990],[18] p. : all ill. ;,,OEOCO Press.,,SOUTHERNCV N7433.4 .S25 S68 1990
Fish /,"Sampson, Mary Ann.",alu,"OEOCO (The One-Eye Opera Co.)],",1989.,[4] p. : all ill. (some col.) ;,,OEOCO Press.,Artists' books--Alabama--Ragland Accordion fold format (Binding)--Alabama--Ragland Linocuts (prints),SOUTHERNCV N7433.4 .S25 F57 1989
Purple dreams /,"Sampson, Mary Ann.",alu,"OEOCO (The One-Eye Opera Co.)],",1990.,[60] p. : all col. ill. ;,,OEOCO Press.,Artists' books--Alabama--Ragland,SOUTHERNCV N7433.4 .S25 P87 1990
Betray the invisible /,"Weddle, Jeff,",alu,"OEOCO Press,",2010.,[30] p. : col. ill. ;,"Sampson, Mary Ann,","OEOCO Press,Wookey Hole MillMohawk Fine Papers, Inc.,",Artists' books--Alabama--Ragland Non-adhesive bindings (Binding). Japanese sewing (Binding). Stabbing (Binding). Visible structure (Binding). Private press books (Publishing). Trimmed edges (Paper). Metal types (Type evidence). Typefaces (Type evidence)--Cochin. Typefaces (Type evidence)--Bembo.,SOUTHERNCV PS3623 .E39775 B48 2010
Then from all the stones /,"Field, Dorothy, 1944-",alu,"OEOCO Press,",[2003],"[52] p. : ill., some col. ;","Sampson, Mary Ann.","OEOCO Press.Mohawk Paper Mills (Cohoes, N.Y.)University of Alabama.",,SOUTHERNCV PR9199.4 .F54 T48 2003
Stitching speechless /,"Addiss, Stephen, 1935-",ncu,"Blue Bluer Books,",2011.,[21] leaves ;,"Hockensmith, Josh.",Blue Bluer Books (Firm),,SOUTHERNCV N7433.4 .A335 S75 2011
Googled English frontier deedbook /,"Hockensmith, Josh.",ncu,"Blue Bluer Books,",2008],[11] leaves ;,,Blue Bluer Books (Firm),,SOUTHERNCV N7433.4 .H63 G66 2006
The night has a thousand eyes /,"Bourdillon, Francis William, 1852-1921.",ncu,"Catbird (On the Yadkin) Press,",c2010.,[11] p. : col. ill. ;,"Schupbach-Gordon, Terry.",Catbird (On the Yadkin) Press.,,SOUTHERNCV PR4161 .B3 N54 2010
Everyone sang /,"Sassoon, Siegfried, 1886-1967.",ncu,"Catbird (on the Yadkin) Press,",2009.,[17] p. : col. ill. ;,"Schupbach-Gordon, Terry. Gordon, Toby.",Catbird (On the Yadkin) Press.,Color woodcuts--United States Typefaces (Type evidence)--Lithos Pro Light.,SOUTHERNCV PR6037 .A86 E94 2009
The daily welcome /,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",c2010.,[12] p. : col. ill. ;,,Curious Pursuits Press.,,SOUTHCV-OV N7433.4 .S43 D35 2010
"Sleepwalking the City of Roses : presented in stereoview, Viewmaster, hautology goggles /","Asztalos, Courtney.",flu,"Dark Spring Press :Small Craft Advisory Press,",2010.,[8] p. : chiefly col. ill. ;,,Dark Spring Press.Small Craft Advisory Press.,Artists' books--Florida--Tallahassee,SOUTHCV-OV N7433.4 .A89 S54 2010
Slipping /,"Schick, Ashley L.",gau,"Capybara Press,",c2011.,[32] p. : chiefly col. ill. ;,,Capybara Press.,,SOUTHERNCV N7433.4 .S354 S58 2011
Coupled voices /,"Holland, Kyle (Artist)",tnu,"Kyle Holland,",2010],[8] leaves : col. ill. ;,,Memphis College of Art.,Artists' books--Tennessee--Memphis,SOUTHERNCV N7433.4 .H655 C68 2010
[Of the cloak] /,"Holland, Kyle (Artist)",tnu,"K. Holland],",2010.,1 v. (unpaged) : ill. ;,,,,SOUTHERNCV N7433.4 .H655 O37 2010
[Unfulfilled expectations /,"Holland, Kyle (Artist)",tnu,"Kyle Holland],",2010.,[4] p. : ill. ;,,,,SOUTHERNCV N7433.4 .H655 U54 2010
Shoo fly /,"Sampson, Mary Ann.",alu,"OEOCO Press],",1998.,1 v. (unpaged) : all col. ill. ;,,,Artists' books--Alabama--Ragland,SOUTHERNCV N7433.4 .S25 S56 1998
Heart song /,"Sampson, Mary Ann.",alu,"OEOCO],",1994.,[32] p. : all col. ill. ;,,OEOCO Press.,Artists' books--Alabama--Ragland Accordion fold format (Binding)--Alabama--Ragland,SOUTHERNCV N7433.4 .S25 H43 1994
Change/discovery.,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",2010.,1 v. (unpaged) : col. ill. ;,,Curious Pursuits Press.,Toy and movable books. Artists' books--North Carolina--Boone,SOUTHERNCV N7433.4 .S43 C476 2010
Something done by quiet being /,"Sharp, Sharon A.",ncu,"Sharon A. Sharp],",c2009.,[48] p. : ill. ;,Laozi.,,,SOUTHERNCV N7433.4 .S43 S66 2009
Flowing essence /,"Sharp, Sharon A.",ncu,"Sharon A. Sharp,",c2005.,[18] p. : ill. (some col.) ;,,,,SOUTHERNCV N7433.4 .S43 F59 2005
